<Event(17-VideoExpose {})>
<Event(16-VideoResize {'size': (600, 400), 'w': 600, 'h': 400})>
<Event(1-ActiveEvent {'gain': 0, 'state': 1})>
<Event(4-MouseMotion {'pos': (599, 399), 'rel': (600, 400), 'buttons': (0, 0, 0)})>
<Event(1-ActiveEvent {'gain': 1, 'state': 1})>
<Event(4-MouseMotion {'pos': (593, 230), 'rel': (-6, -169), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (588, 230), 'rel': (-5, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (579, 228), 'rel': (-9, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (574, 228), 'rel': (-5, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (567, 226), 'rel': (-7, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (563, 226), 'rel': (-4, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (554, 224), 'rel': (-9, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (549, 224), 'rel': (-5, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (546, 222), 'rel': (-3, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (540, 222), 'rel': (-6, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (537, 221), 'rel': (-3, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (534, 221), 'rel': (-3, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (529, 219), 'rel': (-5, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (525, 217), 'rel': (-4, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (520, 215), 'rel': (-5, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (517, 215), 'rel': (-3, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (511, 214), 'rel': (-6, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (510, 214), 'rel': (-1, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (507, 214), 'rel': (-3, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (506, 212), 'rel': (-1, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (504, 212), 'rel': (-2, 0), 'buttons': (0, 0, 0)})>
